"maindata" "where" "time1" "time2" "time3"
"1" 1 "group1" -1.20706574938542 2.41583517848934 -0.294293858763713
"2" 2 "group1" 0.27742924211066 0.134088220152031 -0.46589754040611
"3" 5 "group1" 1.08444117668306 -0.490685896690943 1.44949626528713
"4" 3 "group1" -2.34569770262935 -0.440547872353227 -1.06864272367458
"5" 2 "group2" 0.42912468881105 0.459589441005854 -0.855364633737507
"6" 2 "group2" 0.506055892157574 -0.693720246937475 -0.280623001957454
"7" 4 "group2" -0.574739960134649 -1.44820491038647 -0.994340076295665
"8" 3 "group2" -0.546631855784187 0.574755720900728 -0.968514317872049
"9" 2 "group2" -0.564451999093283 -1.02365572296388 -1.10731819264177
"10" 2 "group2" -0.890037829044104 -0.0151383003641817 -1.25198588563894
"11" 2 "group2" -0.477192699753547 -0.935948601168394 -0.523828118987356
"12" NA "group3" -0.998386444859704 1.10229754620026 -0.4968499572667
"13" 5 "group3" -0.77625389463799 -0.475593078869057 -1.80603125680195
"14" 3 "group3" 0.0644588172762693 -0.709440037512506 -0.582075924689333
"15" 3 "group3" 0.959494058970771 -0.501258060594761 -1.10888962442678
"16" 4 "group3" -0.110285494390774 -1.6290934690787 -1.01496200949201
"17" 5 "group3" -0.511009505806642 -1.16761926209419 -0.162309523556819
"18" 4 "group3" -0.911195416629811 -2.18003964894867 0.563055818994517
"19" 5 "group3" -0.83717168026894 -1.34099319210003 1.64781747281506
